posting_date,internship_title,employment_type,work_mode,industry,location,company_name,company_size,company_age,linkedin_presence,website_available,domain_age_months,verification_status,stipend,unrealistic_salary_flag,payment_required,registration_fee,job_description_length,grammatical_errors,vague_description_score,urgency_score,keyword_spam_score,fake_certificate_offer,recruiter_experience_years,recruiter_email_type,suspicious_email_domain,recruiter_response_time_hours,social_media_presence,emotional_manipulation_score,phishing_language_score,trust_signal_score,fraud_score,is_fake_posting
2026-12-31,ML Engineer,Internship,Remote,Software,Berlin,Richardson-Coleman,Small,11.0,1,0,110,0,34735.0,0,0,0,1763,3,54,86,24,0,8.0,Free,1,8.4,1,25,18,55.6,69.4,1
2026-12-31,Marketing Intern,Contract,Hybrid,Healthcare,Singapore,Price-Huff,Small,27.0,0,0,319,1,33340.0,0,0,0,1586,5,22,49,7,0,6.0,Corporate,0,32.6,1,9,8,46.1,42.4,0
2026-12-31,UI/UX Designer,Contract,Remote,Healthcare,Singapore,Lane-Stevens,Small,9.0,1,1,105,1,7388.0,0,0,0,2232,4,33,36,27,0,8.4,Corporate,0,21.9,1,50,9,59.4,12.2,0
2026-12-31,Cybersecurity Analyst,Full-Time,Remote,Healthcare,New York,Johnston-Johnson,Small,18.0,0,0,237,1,38495.0,0,0,0,2180,4,38,57,44,0,14.2,Corporate,0,10.3,1,15,0,62.0,59.0,1
2026-12-31,Frontend Developer,Full-Time,Hybrid,Software,Berlin,Castro and Sons,Startup,35.0,1,0,412,1,13652.0,0,0,0,1419,4,23,49,45,0,2.4,Corporate,0,27.1,1,21,0,78.2,35.5,0
2026-12-31,AI Research Intern,Contract,Hybrid,EdTech,Berlin,Adams Group,Startup,26.0,1,1,302,1,33046.0,0,0,0,2376,4,24,37,38,0,9.7,Corporate,0,28.5,1,0,46,48.1,30.6,0
2026-12-31,Cloud Engineer,Full-Time,Hybrid,Marketing,Dubai,Garcia-Summers,Enterprise,27.0,1,1,324,1,27224.0,0,0,0,2232,5,39,46,29,0,2.1,Free,1,23.2,0,0,34,40.6,49.4,0
2026-12-31,Frontend Developer,Full-Time,Remote,Cybersecurity,New York,"Smith, Stone and Hart",Startup,38.0,1,1,444,0,33662.0,0,1,2282,1489,3,16,40,4,0,4.4,Free,1,29.5,1,27,39,44.6,72.1,1
2026-12-31,Cybersecurity Analyst,Internship,Remote,FinTech,New York,"Baker, Henderson and Jones",Medium,36.0,0,1,439,1,43807.0,0,0,0,1497,1,22,19,11,0,2.3,Free,1,21.1,1,40,41,48.7,48.0,0
2026-12-31,ML Engineer,Contract,Remote,AI,Toronto,Fischer-Jackson,Small,14.0,0,0,170,0,30205.0,0,0,0,2182,1,33,24,0,0,1.1,Corporate,0,10.0,0,6,0,53.7,30.4,0
2026-12-31,Backend Developer,Full-Time,Remote,FinTech,Dubai,Reese-Chavez,Small,26.0,1,1,298,1,13618.0,0,0,0,1913,2,31,95,21,0,6.2,Corporate,0,28.6,1,0,31,55.8,31.9,0
2026-12-31,Cloud Engineer,Contract,Remote,E-Commerce,Toronto,"Chapman, Patterson and Brown",Startup,20.0,1,1,250,0,31920.0,0,0,0,1176,2,27,52,0,0,3.0,Corporate,0,17.7,1,52,29,43.0,23.2,0
2026-12-31,Marketing Intern,Full-Time,Remote,Marketing,San Francisco,Reynolds-Harrell,Small,28.0,1,1,343,0,43794.0,0,0,0,2270,3,40,32,0,0,10.8,Free,1,7.3,1,39,47,17.2,56.4,1
2026-12-31,Cybersecurity Analyst,Full-Time,Onsite,Marketing,Berlin,"Anderson, Miller and Wheeler",Startup,39.0,1,1,463,1,14929.0,0,0,0,1647,4,14,26,9,0,7.3,Corporate,0,29.7,1,44,50,40.3,13.2,0
2026-12-31,Frontend Developer,Full-Time,Remote,E-Commerce,Dubai,Tapia-Torres,Startup,14.0,1,1,179,0,51169.0,0,0,0,2160,4,0,56,36,0,5.9,Corporate,0,14.2,1,25,43,45.9,38.9,0
2026-12-31,Backend Developer,Contract,Remote,Healthcare,New York,Henderson-Matthews,Medium,25.0,1,1,277,0,42153.0,0,0,0,1871,9,55,17,12,0,4.8,Corporate,0,6.1,1,31,10,37.6,39.9,0
2026-12-31,AI Research Intern,Contract,Hybrid,Gaming,Sydney,Martinez PLC,Startup,9.0,1,0,102,1,4158.0,0,0,0,100,8,8,25,19,0,3.4,Corporate,0,13.0,1,32,29,63.5,29.5,0
2026-12-31,Frontend Developer,Internship,Remote,Marketing,Toronto,Lyons-Brown,Medium,13.0,1,1,179,0,28539.0,0,0,0,2299,3,80,77,38,1,4.1,Corporate,0,11.8,0,11,4,42.7,70.8,1
2026-12-31,Marketing Intern,Full-Time,Hybrid,Software,Berlin,Burgess LLC,Small,1.0,1,1,34,1,47836.0,0,0,0,2782,7,38,60,32,0,8.9,Corporate,0,21.1,1,2,21,51.3,45.1,0
2026-12-31,ML Engineer,Part-Time,Remote,Marketing,Singapore,Harper and Sons,Startup,31.0,0,1,360,1,22496.0,0,0,0,1611,5,15,44,15,0,7.2,Corporate,0,30.0,1,22,12,44.2,21.1,0
2026-12-31,Cloud Engineer,Full-Time,Remote,Marketing,Dubai,Harris-Flowers,Medium,1.0,0,1,13,1,53315.0,0,1,433,2238,0,0,49,21,0,0.0,Corporate,0,13.9,1,25,0,79.8,40.5,0
2026-12-31,Frontend Developer,Part-Time,Onsite,AI,Sydney,Hester PLC,Small,9.0,1,1,108,1,42479.0,0,0,0,2314,2,8,21,27,0,2.6,Free,1,8.1,1,54,23,73.5,18.2,0
2026-12-31,Frontend Developer,Full-Time,Remote,FinTech,Berlin,Burns-Thompson,Small,11.0,1,1,145,1,30913.0,0,0,0,1697,4,36,15,3,0,3.2,Corporate,0,23.7,1,13,61,44.3,38.2,0
2026-12-31,Data Science Intern,Part-Time,Onsite,Software,San Francisco,Phillips Inc,Medium,31.0,0,1,339,1,33343.0,0,0,0,1829,4,59,79,27,0,7.7,Corporate,0,17.4,1,53,15,41.0,41.6,0
2026-12-31,Marketing Intern,Part-Time,Remote,FinTech,Sydney,Dalton PLC,Small,26.0,1,0,310,0,27359.0,0,0,0,1467,3,11,59,18,0,1.0,Corporate,0,16.7,1,25,10,68.7,32.6,0
2026-12-31,Data Science Intern,Contract,Remote,Marketing,Sydney,Stone-Barron,Small,39.0,1,1,475,1,23810.0,0,0,0,897,5,38,46,0,0,7.4,Corporate,0,17.1,1,9,0,79.1,16.7,0
2026-12-31,Backend Developer,Part-Time,Remote,AI,Berlin,Nunez-Fuller,Medium,2.0,1,1,30,0,46292.0,0,0,0,1238,1,21,28,30,0,3.3,Corporate,0,25.9,1,67,17,52.1,24.1,0
2026-12-31,Cloud Engineer,Part-Time,Remote,Software,Bangalore,"Santos, Whitehead and Berger",Medium,29.0,0,1,343,0,33858.0,0,0,0,1349,3,6,71,0,0,0.0,Corporate,0,29.3,0,40,16,52.2,16.2,0
2026-12-31,Cloud Engineer,Part-Time,Remote,AI,San Francisco,Williams-Martin,Small,15.0,1,1,168,1,17232.0,0,0,0,2284,4,62,0,34,0,7.7,Corporate,0,21.6,1,5,36,41.6,41.3,0
2026-12-31,UI/UX Designer,Full-Time,Onsite,Healthcare,Berlin,Cook and Sons,Medium,4.0,1,0,70,0,57758.0,0,0,0,2638,5,0,32,0,0,5.2,Free,1,32.7,1,31,25,57.4,23.2,0
2026-12-31,Cloud Engineer,Internship,Hybrid,Cybersecurity,Berlin,Hayes-Key,Medium,20.0,1,1,247,1,26734.0,0,1,706,697,1,28,29,50,0,6.1,Corporate,0,18.3,1,32,6,70.4,40.2,0
2026-12-31,Marketing Intern,Contract,Remote,EdTech,Singapore,Johnson LLC,Small,29.0,1,1,354,1,52621.0,0,0,0,2111,0,11,6,23,0,10.4,Corporate,0,8.9,1,9,5,89.9,0.0,0
2026-12-31,Data Science Intern,Contract,Remote,AI,London,"Perry, Curry and Montoya",Medium,22.0,0,1,266,1,35615.0,0,0,0,2141,4,13,37,4,0,7.2,Corporate,0,28.4,1,21,0,63.0,13.9,0
2026-12-31,ML Engineer,Part-Time,Onsite,EdTech,Dubai,Mitchell Inc,Medium,35.0,1,1,393,1,43925.0,0,1,3047,2150,2,7,38,21,0,7.8,Free,1,33.8,1,0,53,64.4,65.1,1
2026-12-31,Marketing Intern,Internship,Hybrid,EdTech,San Francisco,Wilson-Kelly,Small,3.0,1,1,29,1,34561.0,0,0,0,1025,3,45,52,13,0,6.5,Free,1,6.7,0,19,20,50.0,40.6,0
2026-12-31,Marketing Intern,Part-Time,Remote,Healthcare,San Francisco,Garcia-Taylor,Startup,39.0,1,1,474,0,39418.0,0,0,0,3013,3,37,62,30,0,3.1,Corporate,0,12.4,1,0,10,52.2,29.4,0
2026-12-31,UI/UX Designer,Full-Time,Onsite,Gaming,Singapore,Long LLC,Medium,39.0,1,1,477,1,56416.0,0,0,0,2062,2,59,30,28,0,1.5,Corporate,0,19.8,1,0,0,,13.8,0
2026-12-31,Backend Developer,Part-Time,Hybrid,FinTech,Singapore,Duke-Wood,Medium,15.0,0,1,192,1,22447.0,0,0,0,1122,5,3,22,26,0,4.8,Corporate,0,1.0,1,6,30,58.1,24.4,0
2026-12-31,Data Science Intern,Full-Time,Remote,Cybersecurity,Dubai,Odonnell-Mccoy,Medium,5.0,0,1,51,1,12721.0,0,0,0,2070,5,39,73,13,0,5.7,Corporate,0,25.1,1,33,19,41.3,47.0,0
2026-12-31,Cybersecurity Analyst,Contract,Remote,AI,Singapore,Gonzalez Group,Medium,38.0,0,1,463,0,28067.0,0,0,0,1926,2,50,46,0,0,7.7,Free,1,9.6,0,18,6,57.2,32.1,0
2026-12-31,Marketing Intern,Internship,Remote,Software,San Francisco,Clarke-Walton,Small,24.0,1,1,267,0,24878.0,0,0,0,1937,3,27,46,19,0,6.8,Corporate,0,7.2,1,59,34,66.5,27.3,0
2026-12-31,AI Research Intern,Part-Time,Remote,AI,New York,"Gardner, Christensen and Freeman",Medium,33.0,1,1,424,1,35120.0,0,0,0,1782,2,46,59,73,0,8.6,Corporate,0,20.3,1,29,20,66.6,32.5,0
2026-12-31,Cloud Engineer,Full-Time,Remote,Gaming,Singapore,Weiss-Yates,Small,32.0,0,1,398,0,34480.0,0,0,0,1982,3,56,74,20,0,7.4,Corporate,0,9.5,1,18,17,10.5,43.4,0
2026-12-31,ML Engineer,Contract,Onsite,Marketing,Toronto,Harris-Davis,Startup,19.0,1,1,216,1,42308.0,0,0,0,1221,2,13,20,36,0,2.4,Corporate,0,27.7,0,4,17,61.2,7.0,0
2026-12-31,Marketing Intern,Full-Time,Remote,Healthcare,London,"Young, Holloway and Rivera",Startup,39.0,1,1,466,1,36904.0,0,0,0,1751,3,33,10,41,1,3.9,Corporate,0,39.5,1,58,14,,44.1,0
2026-12-31,Cybersecurity Analyst,Internship,Remote,Gaming,Berlin,Stevens-Hoffman,Small,6.0,0,1,40,0,43047.0,0,0,0,711,1,62,0,21,0,2.1,Corporate,0,29.7,0,22,60,11.7,69.9,1
2026-12-31,ML Engineer,Contract,Hybrid,AI,Toronto,Johnson-Yoder,Medium,14.0,0,1,170,0,23421.0,0,1,1157,1624,4,20,27,35,0,7.3,Corporate,0,40.6,0,26,37,34.2,66.5,1
2026-12-31,Frontend Developer,Part-Time,Hybrid,Software,Bangalore,"Harrison, Blackburn and Floyd",Startup,11.0,0,1,126,0,30571.0,0,1,4792,1433,1,21,73,12,0,6.3,Corporate,0,23.9,1,0,0,53.8,52.8,1
2026-12-31,Frontend Developer,Full-Time,Remote,AI,New York,White Inc,Startup,30.0,1,0,364,1,39580.0,0,0,0,1607,2,57,27,20,0,0.0,Corporate,0,12.8,1,11,12,50.4,42.0,0
2026-12-31,ML Engineer,Full-Time,Remote,Software,Berlin,Brown-Russell,Medium,27.0,1,1,306,1,38330.0,0,0,0,2579,4,2,18,20,0,1.0,Corporate,0,22.7,0,43,57,55.9,24.5,0
2026-12-31,Cybersecurity Analyst,Internship,Hybrid,Software,Dubai,"Reilly, Campbell and Welch",Medium,30.0,1,1,344,1,17876.0,0,0,0,1454,4,37,70,62,0,2.4,Corporate,0,5.7,0,23,29,61.2,45.0,0
2026-12-31,Backend Developer,Full-Time,Remote,Software,Toronto,Zamora-Watkins,Medium,33.0,1,0,406,1,29279.0,0,0,0,1635,5,18,60,49,0,7.6,Corporate,0,10.1,1,18,7,64.6,40.8,0
2026-12-31,ML Engineer,Full-Time,Remote,Gaming,New York,Graham LLC,Startup,3.0,1,1,17,0,25495.0,0,0,0,1426,2,21,0,26,0,0.0,Corporate,0,27.6,1,33,26,42.7,15.7,0
2026-12-31,ML Engineer,Part-Time,Onsite,FinTech,Dubai,"Mason, Lopez and Ramirez",Startup,16.0,1,1,172,0,46069.0,0,0,0,1192,2,37,27,1,0,3.8,Corporate,0,25.6,1,32,24,47.4,7.3,0
2026-12-31,Cybersecurity Analyst,Full-Time,Onsite,Cybersecurity,London,Hopkins Group,Medium,23.0,1,1,284,1,21300.0,0,0,0,1518,3,35,84,0,0,4.3,Free,1,21.2,0,39,4,74.6,28.5,0
2026-12-31,AI Research Intern,Contract,Remote,FinTech,Dubai,"Mitchell, Gonzales and Briggs",Medium,23.0,0,1,259,0,44041.0,0,0,0,1691,3,0,55,70,0,2.6,Corporate,0,8.1,1,0,15,51.9,28.1,0
2026-12-31,Data Science Intern,Part-Time,Remote,FinTech,Dubai,"Davis, Barnes and Hogan",Medium,2.0,0,1,34,1,40385.0,0,0,0,2124,0,27,32,3,0,12.8,Corporate,0,19.7,0,2,19,53.4,27.6,0
2026-12-31,Frontend Developer,Contract,Remote,AI,New York,White-Mann,Enterprise,6.0,0,1,76,1,10865.0,0,0,0,742,4,32,72,0,0,1.7,Corporate,0,3.3,0,15,23,49.1,51.0,1
2026-12-31,ML Engineer,Full-Time,Remote,Marketing,New York,Cantu and Sons,Enterprise,37.0,0,1,444,0,48338.0,0,0,0,1279,4,25,10,53,0,5.6,Corporate,0,21.3,1,17,1,,22.4,0
2026-12-31,UI/UX Designer,Internship,Remote,AI,Toronto,Smith PLC,Startup,26.0,1,1,304,1,43668.0,0,0,0,2144,1,40,0,23,0,4.8,Corporate,0,14.1,1,14,0,79.7,4.2,0
2026-12-31,AI Research Intern,Contract,Onsite,Software,London,"Howell, Mcdaniel and Carpenter",Enterprise,25.0,0,1,301,1,55268.0,0,0,0,1799,6,35,2,20,0,2.2,Free,1,13.6,1,31,12,52.4,36.3,0
2026-12-31,UI/UX Designer,Contract,Hybrid,FinTech,Berlin,Miller PLC,Medium,16.0,1,0,206,0,40890.0,0,0,0,2835,4,31,59,59,0,6.0,Free,1,5.1,1,14,22,67.9,55.4,1
2026-12-31,Marketing Intern,Part-Time,Onsite,Cybersecurity,Sydney,Dean-Norris,Small,22.0,0,1,269,1,47356.0,0,0,0,1761,3,29,37,29,0,1.6,Corporate,0,21.9,0,18,18,54.4,24.2,0
2026-12-31,Frontend Developer,Part-Time,Remote,FinTech,New York,"Martinez, Anderson and Martin",Startup,18.0,1,1,204,1,49619.0,0,0,0,1698,2,10,25,44,0,4.2,Corporate,0,10.1,1,26,37,53.9,21.0,0
2026-12-31,Cybersecurity Analyst,Internship,Hybrid,Marketing,Dubai,"Davis, Moore and Banks",Startup,1.0,0,0,30,1,37995.0,0,0,0,1694,3,29,32,14,0,5.1,Corporate,0,25.9,0,45,6,79.6,41.4,0
2026-12-31,Backend Developer,Full-Time,Remote,EdTech,London,Jones Group,Small,8.0,1,1,115,1,30963.0,0,0,0,1634,2,21,37,37,0,8.5,Corporate,0,52.6,1,11,34,67.4,4.9,0
2026-12-31,Cloud Engineer,Full-Time,Onsite,FinTech,New York,Holder-Campbell,Startup,13.0,1,1,145,0,39262.0,0,0,0,1894,3,44,75,17,0,4.9,Corporate,0,33.6,1,50,16,56.9,30.8,0
2026-12-31,Cloud Engineer,Internship,Hybrid,AI,Berlin,Martinez PLC,Medium,33.0,1,1,384,1,34317.0,0,0,0,2281,6,45,0,26,0,12.3,Corporate,0,26.1,1,16,51,38.3,47.5,0
2026-12-31,UI/UX Designer,Part-Time,Remote,Gaming,Bangalore,Fitzgerald-Powell,Small,8.0,1,1,116,1,61825.0,0,0,0,1624,1,31,3,26,0,5.0,Corporate,0,12.0,1,60,15,57.6,13.1,0
2026-12-31,Cybersecurity Analyst,Part-Time,Onsite,Marketing,San Francisco,Johnson PLC,Startup,13.0,1,1,160,0,54825.0,0,0,0,1204,4,31,30,31,0,8.2,Corporate,0,1.0,1,0,15,43.3,25.9,0
2026-12-31,ML Engineer,Full-Time,Remote,AI,London,Lin LLC,Startup,21.0,1,1,267,1,40047.0,0,1,1757,2375,3,70,47,45,0,8.3,Corporate,0,9.7,1,31,0,47.8,81.8,1
2026-12-31,Backend Developer,Part-Time,Remote,Marketing,Dubai,Brown-Myers,Medium,3.0,1,1,38,1,8069.0,0,0,0,1368,2,34,48,25,0,7.2,Corporate,0,8.3,0,54,14,63.0,3.0,0
2026-12-31,UI/UX Designer,Internship,Hybrid,Cybersecurity,San Francisco,Powell and Sons,Startup,7.0,1,1,89,0,40042.0,0,0,0,2162,3,61,35,16,0,6.3,Corporate,0,24.8,1,43,0,46.7,23.8,0
2026-12-31,Cybersecurity Analyst,Contract,Hybrid,FinTech,Sydney,"Peterson, Collins and Kim",Startup,6.0,1,1,98,1,34465.0,0,0,0,1349,3,21,42,34,0,1.3,Corporate,0,1.0,1,1,37,57.9,31.8,0
2026-12-31,Cybersecurity Analyst,Full-Time,Hybrid,Software,New York,Flynn and Sons,Small,36.0,1,0,439,1,33138.0,0,0,0,1374,2,11,71,22,0,6.0,Corporate,0,14.5,1,45,23,62.3,19.4,0
2026-12-31,ML Engineer,Part-Time,Onsite,E-Commerce,New York,"Murillo, Hunter and Gonzalez",Startup,38.0,1,1,448,1,34347.0,0,0,0,2062,4,29,66,5,0,3.6,Free,1,16.3,1,27,0,76.3,29.5,0
2026-12-31,AI Research Intern,Part-Time,Remote,Gaming,Singapore,Nelson Ltd,Medium,17.0,1,1,189,1,32661.0,0,0,0,1955,3,16,0,40,0,5.5,Corporate,0,11.7,1,42,4,54.1,22.3,0
2026-12-31,Backend Developer,Internship,Remote,EdTech,New York,Horton PLC,Small,20.0,1,1,237,1,65838.0,0,0,0,995,3,36,32,53,0,4.5,Corporate,0,14.7,0,44,0,60.0,9.7,0
2026-12-31,Cybersecurity Analyst,Part-Time,Remote,E-Commerce,San Francisco,"Baker, George and Fields",Small,35.0,0,1,387,1,21712.0,0,0,0,595,2,31,51,26,1,0.9,Corporate,0,15.6,1,11,24,60.7,58.5,1
2026-12-31,Data Science Intern,Full-Time,Remote,Gaming,Sydney,Diaz-Bryant,Startup,12.0,0,1,142,1,,0,1,2903,2329,4,18,47,10,0,6.5,Free,1,22.9,1,46,28,37.6,88.3,1
2026-12-31,ML Engineer,Contract,Remote,Software,Singapore,Miranda-Garrett,Startup,33.0,1,1,418,1,25217.0,0,0,0,1087,1,32,0,0,0,1.0,Corporate,0,15.2,1,36,12,74.0,2.4,0
2026-12-31,Backend Developer,Part-Time,Remote,Gaming,New York,Bell-Morse,Small,13.0,1,1,181,1,25212.0,0,0,0,3074,3,45,24,57,0,3.9,Free,1,1.0,1,31,12,73.0,34.1,0
2026-12-31,Frontend Developer,Contract,Hybrid,Gaming,Dubai,Price Ltd,Medium,34.0,1,1,414,1,33746.0,0,0,0,2414,5,6,97,46,0,4.0,Corporate,0,9.3,1,22,24,56.7,16.9,0
2026-12-31,UI/UX Designer,Full-Time,Remote,E-Commerce,Berlin,"Morris, Carlson and Kerr",Small,38.0,0,1,466,1,36324.0,0,0,0,991,4,26,53,17,0,6.1,Corporate,0,20.2,1,0,0,55.2,13.4,0
2026-12-31,Marketing Intern,Part-Time,Remote,Healthcare,Toronto,"Gonzalez, Gonzalez and Mcdowell",Startup,7.0,1,1,72,1,36192.0,0,1,4204,1216,3,7,39,16,0,7.9,Free,1,20.3,1,0,7,73.6,58.6,1
2026-12-31,Cybersecurity Analyst,Full-Time,Remote,Cybersecurity,Bangalore,"Wright, Schneider and Perry",Small,37.0,1,1,451,1,43659.0,0,0,0,2707,4,39,62,0,0,8.5,Corporate,0,27.9,1,0,14,53.9,11.9,0
2026-12-31,UI/UX Designer,Full-Time,Remote,FinTech,Singapore,"Vincent, York and Smith",Small,20.0,1,1,253,1,27831.0,0,0,0,2656,2,30,70,0,0,5.2,Corporate,0,15.2,1,37,0,72.3,23.3,0
2026-12-31,Cybersecurity Analyst,Internship,Hybrid,Marketing,Dubai,Turner Group,Small,16.0,1,1,169,1,74346.0,0,0,0,2833,1,4,47,24,1,4.9,Corporate,0,10.2,1,17,16,82.4,9.0,0
2026-12-31,ML Engineer,Part-Time,Remote,E-Commerce,Bangalore,"Baker, Rodriguez and Arnold",Medium,34.0,1,1,402,1,38266.0,0,0,0,1566,1,42,0,44,0,3.7,Corporate,0,38.8,1,37,0,75.3,10.1,0
2026-12-31,UI/UX Designer,Part-Time,Hybrid,E-Commerce,Bangalore,Bennett-Alvarado,Enterprise,6.0,1,1,63,1,31065.0,0,0,0,1569,3,62,63,15,0,8.5,Free,1,23.0,1,19,24,30.0,56.3,1
2026-12-31,ML Engineer,Contract,Remote,EdTech,New York,Perkins PLC,Small,11.0,1,1,138,1,18463.0,0,0,0,2567,0,25,59,5,0,2.3,Corporate,0,32.8,1,26,37,65.3,13.6,0
2026-12-31,Frontend Developer,Contract,Onsite,EdTech,Bangalore,Hansen-Lamb,Medium,23.0,1,1,299,1,20586.0,0,0,0,1836,2,6,9,35,0,10.4,Corporate,0,1.0,1,22,67,57.8,21.9,0
2026-12-31,Backend Developer,Part-Time,Onsite,EdTech,Bangalore,Harris PLC,Medium,11.0,1,1,151,1,35831.0,0,0,0,940,3,28,40,0,0,0.4,Free,1,19.5,1,28,31,59.0,28.6,0
